Employee,Training,CompletionDate,ExpirationDate,Status,CertificateLink,Notes
EMP0027,Ochrana pred požiarmi,2026-03-17,2028-03-17,Valid,/sites/HRHub/Certificates/EMP0027_Ochrana_pred_poziarmi.pdf,
EMP0027,GDPR a ochrana osobných údajov,2025-12-03,2026-12-03,Valid,/sites/HRHub/Certificates/EMP0027_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0027,Kybernetická bezpečnosť,2026-08-09,,Planned,,Naplánovaný termín cez HR.
EMP0027,Etický kódex a compliance,2026-02-07,2028-02-07,Valid,/sites/HRHub/Certificates/EMP0027_Eticky_kodex_a_compliance.pdf,
EMP0027,Vodič referentského vozidla,2025-05-21,2027-05-21,Valid,/sites/HRHub/Certificates/EMP0027_Vodic_referentskeho_vozidla.pdf,
EMP0027,Prezentačné zručnosti,2025-01-26,,Valid,/sites/HRHub/Certificates/EMP0027_Prezentacne_zrucnosti.pdf,
EMP0028,BOZP – vstupné školenie,2024-12-08,2026-12-08,Valid,/sites/HRHub/Certificates/EMP0028_BOZP_-_vstupne_skolenie.pdf,
EMP0028,Ochrana pred požiarmi,2025-08-23,2027-08-23,Valid,/sites/HRHub/Certificates/EMP0028_Ochrana_pred_poziarmi.pdf,
EMP0028,GDPR a ochrana osobných údajov,2025-08-24,2026-08-24,Valid,/sites/HRHub/Certificates/EMP0028_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0028,Kybernetická bezpečnosť,2025-09-30,2026-09-30,Valid,/sites/HRHub/Certificates/EMP0028_Kyberneticka_bezpecnost.pdf,
EMP0028,Etický kódex a compliance,2024-09-27,2026-09-27,Valid,/sites/HRHub/Certificates/EMP0028_Eticky_kodex_a_compliance.pdf,
EMP0028,Vodič referentského vozidla,2024-07-08,2026-07-08,Expiring,/sites/HRHub/Certificates/EMP0028_Vodic_referentskeho_vozidla.pdf,
EMP0028,Prezentačné zručnosti,2026-02-12,,Valid,/sites/HRHub/Certificates/EMP0028_Prezentacne_zrucnosti.pdf,
EMP0028,Power BI základy,2026-01-07,,Valid,/sites/HRHub/Certificates/EMP0028_Power_BI_zaklady.pdf,
EMP0029,BOZP – vstupné školenie,2024-10-20,2026-10-20,Valid,/sites/HRHub/Certificates/EMP0029_BOZP_-_vstupne_skolenie.pdf,
EMP0029,Ochrana pred požiarmi,2025-05-03,2027-05-03,Valid,/sites/HRHub/Certificates/EMP0029_Ochrana_pred_poziarmi.pdf,
EMP0029,GDPR a ochrana osobných údajov,2025-06-26,2026-06-26,Expiring,/sites/HRHub/Certificates/EMP0029_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0029,Kybernetická bezpečnosť,2026-02-22,2027-02-22,Valid,/sites/HRHub/Certificates/EMP0029_Kyberneticka_bezpecnost.pdf,
EMP0029,Etický kódex a compliance,2025-05-28,2027-05-28,Valid,/sites/HRHub/Certificates/EMP0029_Eticky_kodex_a_compliance.pdf,
EMP0029,Vodič referentského vozidla,2025-06-12,2027-06-12,Valid,/sites/HRHub/Certificates/EMP0029_Vodic_referentskeho_vozidla.pdf,
EMP0029,Prezentačné zručnosti,2024-09-08,,Valid,/sites/HRHub/Certificates/EMP0029_Prezentacne_zrucnosti.pdf,
EMP0030,BOZP – vstupné školenie,2024-06-11,2026-06-11,Expiring,/sites/HRHub/Certificates/EMP0030_BOZP_-_vstupne_skolenie.pdf,
EMP0030,Ochrana pred požiarmi,2025-11-12,2027-11-12,Valid,/sites/HRHub/Certificates/EMP0030_Ochrana_pred_poziarmi.pdf,
EMP0030,GDPR a ochrana osobných údajov,2024-11-28,2025-11-28,Expired,/sites/HRHub/Certificates/EMP0030_GDPR_a_ochrana_osobnych_udajov.pdf,Potrebné obnoviť školenie.
EMP0030,Kybernetická bezpečnosť,2025-08-15,2026-08-15,Valid,/sites/HRHub/Certificates/EMP0030_Kyberneticka_bezpecnost.pdf,
EMP0030,Etický kódex a compliance,2025-01-24,2027-01-24,Valid,/sites/HRHub/Certificates/EMP0030_Eticky_kodex_a_compliance.pdf,
EMP0030,Prezentačné zručnosti,2024-12-25,,Valid,/sites/HRHub/Certificates/EMP0030_Prezentacne_zrucnosti.pdf,
EMP0031,BOZP – vstupné školenie,2026-07-24,,Planned,,Naplánovaný termín cez HR.
EMP0031,Ochrana pred požiarmi,2026-03-12,2028-03-12,Valid,/sites/HRHub/Certificates/EMP0031_Ochrana_pred_poziarmi.pdf,
EMP0031,GDPR a ochrana osobných údajov,2025-07-02,2026-07-02,Expiring,/sites/HRHub/Certificates/EMP0031_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0031,Kybernetická bezpečnosť,2025-09-26,2026-09-26,Valid,/sites/HRHub/Certificates/EMP0031_Kyberneticka_bezpecnost.pdf,
EMP0031,Etický kódex a compliance,2025-06-16,2027-06-16,Valid,/sites/HRHub/Certificates/EMP0031_Eticky_kodex_a_compliance.pdf,
EMP0031,Prezentačné zručnosti,2025-06-16,,Valid,/sites/HRHub/Certificates/EMP0031_Prezentacne_zrucnosti.pdf,
EMP0031,Anglický jazyk B2 – konverzácie,2025-09-21,,Valid,/sites/HRHub/Certificates/EMP0031_Anglicky_jazyk_B2_-_konverzacie.pdf,
EMP0032,BOZP – vstupné školenie,2024-06-19,2026-06-19,Expiring,/sites/HRHub/Certificates/EMP0032_BOZP_-_vstupne_skolenie.pdf,
EMP0032,Ochrana pred požiarmi,2024-07-04,2026-07-04,Expiring,/sites/HRHub/Certificates/EMP0032_Ochrana_pred_poziarmi.pdf,
EMP0032,GDPR a ochrana osobných údajov,2025-05-01,2026-05-01,Expired,/sites/HRHub/Certificates/EMP0032_GDPR_a_ochrana_osobnych_udajov.pdf,Potrebné obnoviť školenie.
EMP0032,Kybernetická bezpečnosť,2026-02-21,2027-02-21,Valid,/sites/HRHub/Certificates/EMP0032_Kyberneticka_bezpecnost.pdf,
EMP0032,Etický kódex a compliance,2023-11-24,2025-11-24,Expired,/sites/HRHub/Certificates/EMP0032_Eticky_kodex_a_compliance.pdf,Potrebné obnoviť školenie.
EMP0032,Prezentačné zručnosti,2024-09-15,,Valid,/sites/HRHub/Certificates/EMP0032_Prezentacne_zrucnosti.pdf,
EMP0033,Etický kódex a compliance,2024-03-01,2026-03-01,Expired,/sites/HRHub/Certificates/EMP0033_Eticky_kodex_a_compliance.pdf,
EMP0033,GDPR a ochrana osobných údajov,2025-01-07,2026-01-07,Expired,/sites/HRHub/Certificates/EMP0033_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0034,BOZP – vstupné školenie,2024-06-22,2026-06-22,Expiring,/sites/HRHub/Certificates/EMP0034_BOZP_-_vstupne_skolenie.pdf,
EMP0034,Ochrana pred požiarmi,2024-05-28,2026-05-28,Expired,/sites/HRHub/Certificates/EMP0034_Ochrana_pred_poziarmi.pdf,Potrebné obnoviť školenie.
EMP0034,GDPR a ochrana osobných údajov,2026-03-23,2027-03-23,Valid,/sites/HRHub/Certificates/EMP0034_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0034,Kybernetická bezpečnosť,2025-06-12,2026-06-12,Expiring,/sites/HRHub/Certificates/EMP0034_Kyberneticka_bezpecnost.pdf,
EMP0034,Etický kódex a compliance,2026-01-17,2028-01-17,Valid,/sites/HRHub/Certificates/EMP0034_Eticky_kodex_a_compliance.pdf,
EMP0034,Práca vo výškach,2025-09-17,2026-09-17,Valid,/sites/HRHub/Certificates/EMP0034_Praca_vo_vyskach.pdf,
EMP0034,Obsluha VZV (vysokozdvižný vozík),2024-03-09,2029-03-09,Valid,/sites/HRHub/Certificates/EMP0034_Obsluha_VZV_(vysokozdvizny_vozik).pdf,Potrebné obnoviť školenie.
EMP0034,Prvá pomoc na pracovisku,2025-01-31,2027-01-31,Valid,/sites/HRHub/Certificates/EMP0034_Prva_pomoc_na_pracovisku.pdf,
EMP0035,BOZP – vstupné školenie,2026-03-12,2028-03-12,Valid,/sites/HRHub/Certificates/EMP0035_BOZP_-_vstupne_skolenie.pdf,
EMP0035,Ochrana pred požiarmi,2026-03-12,2028-03-12,Valid,/sites/HRHub/Certificates/EMP0035_Ochrana_pred_poziarmi.pdf,
EMP0035,GDPR a ochrana osobných údajov,2026-04-23,2027-04-23,Valid,/sites/HRHub/Certificates/EMP0035_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0035,Kybernetická bezpečnosť,2026-04-19,2027-04-19,Valid,/sites/HRHub/Certificates/EMP0035_Kyberneticka_bezpecnost.pdf,
EMP0035,Etický kódex a compliance,2026-04-02,2028-04-02,Valid,/sites/HRHub/Certificates/EMP0035_Eticky_kodex_a_compliance.pdf,
EMP0035,Práca vo výškach,2025-01-07,2026-01-07,Expired,/sites/HRHub/Certificates/EMP0035_Praca_vo_vyskach.pdf,Potrebné obnoviť školenie.
EMP0035,Obsluha VZV (vysokozdvižný vozík),2025-12-03,2030-12-03,Valid,/sites/HRHub/Certificates/EMP0035_Obsluha_VZV_(vysokozdvizny_vozik).pdf,
EMP0035,Prvá pomoc na pracovisku,2026-01-25,2028-01-25,Valid,/sites/HRHub/Certificates/EMP0035_Prva_pomoc_na_pracovisku.pdf,
EMP0036,BOZP – vstupné školenie,2024-09-23,2026-09-23,Valid,/sites/HRHub/Certificates/EMP0036_BOZP_-_vstupne_skolenie.pdf,
EMP0036,Ochrana pred požiarmi,2025-10-07,2027-10-07,Valid,/sites/HRHub/Certificates/EMP0036_Ochrana_pred_poziarmi.pdf,
EMP0036,GDPR a ochrana osobných údajov,2025-11-13,2026-11-13,Valid,/sites/HRHub/Certificates/EMP0036_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0036,Kybernetická bezpečnosť,2025-10-12,2026-10-12,Valid,/sites/HRHub/Certificates/EMP0036_Kyberneticka_bezpecnost.pdf,
EMP0036,Etický kódex a compliance,2024-06-29,2026-06-29,Expiring,/sites/HRHub/Certificates/EMP0036_Eticky_kodex_a_compliance.pdf,
EMP0036,Práca vo výškach,2025-12-21,2026-12-21,Valid,/sites/HRHub/Certificates/EMP0036_Praca_vo_vyskach.pdf,
EMP0036,Obsluha VZV (vysokozdvižný vozík),2026-01-23,2031-01-23,Valid,/sites/HRHub/Certificates/EMP0036_Obsluha_VZV_(vysokozdvizny_vozik).pdf,
EMP0036,Prvá pomoc na pracovisku,2026-02-14,2028-02-14,Valid,/sites/HRHub/Certificates/EMP0036_Prva_pomoc_na_pracovisku.pdf,
EMP0037,BOZP – vstupné školenie,2024-06-17,2026-06-17,Expiring,/sites/HRHub/Certificates/EMP0037_BOZP_-_vstupne_skolenie.pdf,
EMP0037,Ochrana pred požiarmi,2024-06-13,2026-06-13,Expiring,/sites/HRHub/Certificates/EMP0037_Ochrana_pred_poziarmi.pdf,
EMP0037,GDPR a ochrana osobných údajov,2025-04-17,2026-04-17,Expired,/sites/HRHub/Certificates/EMP0037_GDPR_a_ochrana_osobnych_udajov.pdf,Potrebné obnoviť školenie.
EMP0037,Kybernetická bezpečnosť,2026-03-07,2027-03-07,Valid,/sites/HRHub/Certificates/EMP0037_Kyberneticka_bezpecnost.pdf,
EMP0037,Etický kódex a compliance,2026-08-13,,Planned,,Naplánovaný termín cez HR.
EMP0037,Práca vo výškach,2025-09-28,2026-09-28,Valid,/sites/HRHub/Certificates/EMP0037_Praca_vo_vyskach.pdf,
EMP0037,Obsluha VZV (vysokozdvižný vozík),2021-06-18,2026-06-18,Expiring,/sites/HRHub/Certificates/EMP0037_Obsluha_VZV_(vysokozdvizny_vozik).pdf,
EMP0037,Prvá pomoc na pracovisku,2024-06-20,2026-06-20,Expiring,/sites/HRHub/Certificates/EMP0037_Prva_pomoc_na_pracovisku.pdf,
EMP0038,Kybernetická bezpečnosť,2024-12-18,2025-12-18,Expired,/sites/HRHub/Certificates/EMP0038_Kyberneticka_bezpecnost.pdf,
EMP0038,BOZP – vstupné školenie,2023-12-08,2025-12-08,Expired,/sites/HRHub/Certificates/EMP0038_BOZP_-_vstupne_skolenie.pdf,
EMP0039,BOZP – vstupné školenie,2024-08-24,2026-08-24,Valid,/sites/HRHub/Certificates/EMP0039_BOZP_-_vstupne_skolenie.pdf,
EMP0039,Ochrana pred požiarmi,2025-11-05,2027-11-05,Valid,/sites/HRHub/Certificates/EMP0039_Ochrana_pred_poziarmi.pdf,
EMP0039,GDPR a ochrana osobných údajov,2025-08-21,2026-08-21,Valid,/sites/HRHub/Certificates/EMP0039_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0039,Kybernetická bezpečnosť,2025-06-15,2026-06-15,Expiring,/sites/HRHub/Certificates/EMP0039_Kyberneticka_bezpecnost.pdf,
EMP0039,Etický kódex a compliance,2026-01-01,2028-01-01,Valid,/sites/HRHub/Certificates/EMP0039_Eticky_kodex_a_compliance.pdf,
EMP0039,Práca vo výškach,2026-07-08,,Planned,,Naplánovaný termín cez HR.
EMP0039,Obsluha VZV (vysokozdvižný vozík),2023-01-24,2028-01-24,Valid,/sites/HRHub/Certificates/EMP0039_Obsluha_VZV_(vysokozdvizny_vozik).pdf,
EMP0039,Prvá pomoc na pracovisku,2024-10-21,2026-10-21,Valid,/sites/HRHub/Certificates/EMP0039_Prva_pomoc_na_pracovisku.pdf,
EMP0040,BOZP – vstupné školenie,2025-02-01,2027-02-01,Valid,/sites/HRHub/Certificates/EMP0040_BOZP_-_vstupne_skolenie.pdf,
EMP0040,Ochrana pred požiarmi,2025-04-09,2027-04-09,Valid,/sites/HRHub/Certificates/EMP0040_Ochrana_pred_poziarmi.pdf,
EMP0040,GDPR a ochrana osobných údajov,2025-09-12,2026-09-12,Valid,/sites/HRHub/Certificates/EMP0040_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0040,Kybernetická bezpečnosť,2025-10-14,2026-10-14,Valid,/sites/HRHub/Certificates/EMP0040_Kyberneticka_bezpecnost.pdf,
EMP0040,Etický kódex a compliance,2024-05-21,2026-05-21,Expired,/sites/HRHub/Certificates/EMP0040_Eticky_kodex_a_compliance.pdf,Potrebné obnoviť školenie.
EMP0040,Práca vo výškach,2025-12-12,2026-12-12,Valid,/sites/HRHub/Certificates/EMP0040_Praca_vo_vyskach.pdf,
EMP0040,Obsluha VZV (vysokozdvižný vozík),2026-04-04,2031-04-04,Valid,/sites/HRHub/Certificates/EMP0040_Obsluha_VZV_(vysokozdvizny_vozik).pdf,
EMP0040,Prvá pomoc na pracovisku,2023-12-11,2025-12-11,Expired,/sites/HRHub/Certificates/EMP0040_Prva_pomoc_na_pracovisku.pdf,Potrebné obnoviť školenie.
EMP0041,BOZP – vstupné školenie,2026-05-05,2028-05-05,Valid,/sites/HRHub/Certificates/EMP0041_BOZP_-_vstupne_skolenie.pdf,
EMP0041,Ochrana pred požiarmi,2025-08-24,2027-08-24,Valid,/sites/HRHub/Certificates/EMP0041_Ochrana_pred_poziarmi.pdf,
EMP0041,GDPR a ochrana osobných údajov,2026-02-26,2027-02-26,Valid,/sites/HRHub/Certificates/EMP0041_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0041,Kybernetická bezpečnosť,2025-10-12,2026-10-12,Valid,/sites/HRHub/Certificates/EMP0041_Kyberneticka_bezpecnost.pdf,
EMP0041,Etický kódex a compliance,2025-11-22,2027-11-22,Valid,/sites/HRHub/Certificates/EMP0041_Eticky_kodex_a_compliance.pdf,
EMP0041,Práca vo výškach,2025-10-15,2026-10-15,Valid,/sites/HRHub/Certificates/EMP0041_Praca_vo_vyskach.pdf,
EMP0041,Obsluha VZV (vysokozdvižný vozík),2023-08-23,2028-08-23,Valid,/sites/HRHub/Certificates/EMP0041_Obsluha_VZV_(vysokozdvizny_vozik).pdf,
EMP0041,Prvá pomoc na pracovisku,2025-01-30,2027-01-30,Valid,/sites/HRHub/Certificates/EMP0041_Prva_pomoc_na_pracovisku.pdf,
EMP0041,Prezentačné zručnosti,2025-11-28,,Valid,/sites/HRHub/Certificates/EMP0041_Prezentacne_zrucnosti.pdf,
EMP0042,BOZP – vstupné školenie,2025-12-13,2027-12-13,Valid,/sites/HRHub/Certificates/EMP0042_BOZP_-_vstupne_skolenie.pdf,
EMP0042,Ochrana pred požiarmi,2024-07-03,2026-07-03,Expiring,/sites/HRHub/Certificates/EMP0042_Ochrana_pred_poziarmi.pdf,
EMP0042,GDPR a ochrana osobných údajov,2025-11-02,2026-11-02,Valid,/sites/HRHub/Certificates/EMP0042_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0042,Kybernetická bezpečnosť,2025-08-18,2026-08-18,Valid,/sites/HRHub/Certificates/EMP0042_Kyberneticka_bezpecnost.pdf,
EMP0042,Etický kódex a compliance,2026-06-28,,Planned,,Naplánovaný termín cez HR.
EMP0042,Práca vo výškach,2025-06-21,2026-06-21,Expiring,/sites/HRHub/Certificates/EMP0042_Praca_vo_vyskach.pdf,
EMP0042,Obsluha VZV (vysokozdvižný vozík),2021-07-14,2026-07-14,Valid,/sites/HRHub/Certificates/EMP0042_Obsluha_VZV_(vysokozdvizny_vozik).pdf,Potrebné obnoviť školenie.
EMP0042,Prvá pomoc na pracovisku,2026-05-25,2028-05-25,Valid,/sites/HRHub/Certificates/EMP0042_Prva_pomoc_na_pracovisku.pdf,
EMP0043,BOZP – vstupné školenie,2025-03-29,2027-03-29,Valid,/sites/HRHub/Certificates/EMP0043_BOZP_-_vstupne_skolenie.pdf,
EMP0043,Ochrana pred požiarmi,2026-08-22,,Planned,,Naplánovaný termín cez HR.
EMP0043,GDPR a ochrana osobných údajov,2025-09-13,2026-09-13,Valid,/sites/HRHub/Certificates/EMP0043_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0043,Kybernetická bezpečnosť,2026-04-30,2027-04-30,Valid,/sites/HRHub/Certificates/EMP0043_Kyberneticka_bezpecnost.pdf,
EMP0043,Etický kódex a compliance,2024-06-28,2026-06-28,Expiring,/sites/HRHub/Certificates/EMP0043_Eticky_kodex_a_compliance.pdf,
EMP0043,ISO 9001 interný audítor,2023-03-19,2026-03-19,Expired,/sites/HRHub/Certificates/EMP0043_ISO_9001_interny_auditor.pdf,Potrebné obnoviť školenie.
EMP0043,Prvá pomoc na pracovisku,2025-01-15,2027-01-15,Valid,/sites/HRHub/Certificates/EMP0043_Prva_pomoc_na_pracovisku.pdf,
EMP0043,Power BI základy,2025-05-13,,Valid,/sites/HRHub/Certificates/EMP0043_Power_BI_zaklady.pdf,
EMP0044,BOZP – vstupné školenie,2024-01-11,2026-01-11,Expired,/sites/HRHub/Certificates/EMP0044_BOZP_-_vstupne_skolenie.pdf,Potrebné obnoviť školenie.
EMP0044,Ochrana pred požiarmi,2026-08-08,,Planned,,Naplánovaný termín cez HR.
EMP0044,GDPR a ochrana osobných údajov,2025-05-02,2026-05-02,Expired,/sites/HRHub/Certificates/EMP0044_GDPR_a_ochrana_osobnych_udajov.pdf,Potrebné obnoviť školenie.
EMP0044,Kybernetická bezpečnosť,2026-03-27,2027-03-27,Valid,/sites/HRHub/Certificates/EMP0044_Kyberneticka_bezpecnost.pdf,
EMP0044,Etický kódex a compliance,2025-12-20,2027-12-20,Valid,/sites/HRHub/Certificates/EMP0044_Eticky_kodex_a_compliance.pdf,
EMP0044,ISO 9001 interný audítor,2024-10-06,2027-10-06,Valid,/sites/HRHub/Certificates/EMP0044_ISO_9001_interny_auditor.pdf,
EMP0044,Prvá pomoc na pracovisku,2025-08-20,2027-08-20,Valid,/sites/HRHub/Certificates/EMP0044_Prva_pomoc_na_pracovisku.pdf,
EMP0045,BOZP – vstupné školenie,2025-01-28,2027-01-28,Valid,/sites/HRHub/Certificates/EMP0045_BOZP_-_vstupne_skolenie.pdf,
EMP0045,Ochrana pred požiarmi,2024-06-28,2026-06-28,Expiring,/sites/HRHub/Certificates/EMP0045_Ochrana_pred_poziarmi.pdf,
EMP0045,GDPR a ochrana osobných údajov,2025-04-13,2026-04-13,Expired,/sites/HRHub/Certificates/EMP0045_GDPR_a_ochrana_osobnych_udajov.pdf,Potrebné obnoviť školenie.
EMP0045,Kybernetická bezpečnosť,2025-09-08,2026-09-08,Valid,/sites/HRHub/Certificates/EMP0045_Kyberneticka_bezpecnost.pdf,
EMP0045,Etický kódex a compliance,2026-01-07,2028-01-07,Valid,/sites/HRHub/Certificates/EMP0045_Eticky_kodex_a_compliance.pdf,
EMP0045,ISO 9001 interný audítor,2024-11-07,2027-11-07,Valid,/sites/HRHub/Certificates/EMP0045_ISO_9001_interny_auditor.pdf,
EMP0045,Prvá pomoc na pracovisku,2025-03-28,2027-03-28,Valid,/sites/HRHub/Certificates/EMP0045_Prva_pomoc_na_pracovisku.pdf,
EMP0045,Prezentačné zručnosti,2025-03-17,,Valid,/sites/HRHub/Certificates/EMP0045_Prezentacne_zrucnosti.pdf,
EMP0046,BOZP – vstupné školenie,2026-07-25,,Planned,,Naplánovaný termín cez HR.
EMP0046,Ochrana pred požiarmi,2024-10-10,2026-10-10,Valid,/sites/HRHub/Certificates/EMP0046_Ochrana_pred_poziarmi.pdf,
EMP0046,GDPR a ochrana osobných údajov,2025-09-18,2026-09-18,Valid,/sites/HRHub/Certificates/EMP0046_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0046,Kybernetická bezpečnosť,2025-10-10,2026-10-10,Valid,/sites/HRHub/Certificates/EMP0046_Kyberneticka_bezpecnost.pdf,
EMP0046,Etický kódex a compliance,2025-06-07,2027-06-07,Valid,/sites/HRHub/Certificates/EMP0046_Eticky_kodex_a_compliance.pdf,
EMP0046,Anglický jazyk B2 – konverzácie,2025-09-20,,Valid,/sites/HRHub/Certificates/EMP0046_Anglicky_jazyk_B2_-_konverzacie.pdf,
EMP0047,BOZP – vstupné školenie,2025-11-14,2027-11-14,Valid,/sites/HRHub/Certificates/EMP0047_BOZP_-_vstupne_skolenie.pdf,
EMP0047,Ochrana pred požiarmi,2025-09-24,2027-09-24,Valid,/sites/HRHub/Certificates/EMP0047_Ochrana_pred_poziarmi.pdf,
EMP0047,GDPR a ochrana osobných údajov,2026-01-27,2027-01-27,Valid,/sites/HRHub/Certificates/EMP0047_GDPR_a_ochrana_osobnych_udajov.pdf,
EMP0047,Kybernetická bezpečnosť,2025-10-28,2026-10-28,Valid,/sites/HRHub/Certificates/EMP0047_Kyberneticka_bezpecnost.pdf,
EMP0047,Etický kódex a compliance,2026-08-16,,Planned,,Naplánovaný termín cez HR.
